delivery_id,delivery_distance_meters,delivery_status
2174658,5199,DELIVERED
2174660,410,DELIVERED
2174661,3784,DELIVERED
2174663,5714,DELIVERED
2174675,3746,DELIVERED
2174680,3924,DELIVERED
2174693,2489,DELIVERED
2174695,2564,CANCELLED
2174696,340,DELIVERED
2174697,1081,DELIVERED
2174699,2880,DELIVERED
2174705,1450,DELIVERED
2174707,1699,DELIVERED
2174708,1450,DELIVERED
2174712,5951,DELIVERED
2174713,2353,DELIVERED
2174715,1014,DELIVERED
2174720,5796,DELIVERED
2174724,4425,DELIVERED
2174729,2007,DELIVERED
2174733,5385,DELIVERED
2174734,3854,DELIVERED
2174735,5514,DELIVERED
2174737,3768,DELIVERED
2174739,2927,DELIVERED
2174743,709,DELIVERED
2174744,3484,DELIVERED
2174749,727,DELIVERED
2174751,1793,DELIVERED
2174754,1796,DELIVERED
2174755,1418,DELIVERED
2174756,4417,DELIVERED
2174757,4284,DELIVERED
2174759,1249,DELIVERED
2174764,700,DELIVERED
2174765,1853,DELIVERED
2174767,2258,DELIVERED
2174769,2787,DELIVERED
2174771,2472,DELIVERED
2174775,842,DELIVERED
2174790,3667,DELIVERED
2174791,2068,DELIVERED
2174792,1828,DELIVERED
2174797,1787,DELIVERED
2174799,3429,DELIVERED
2174801,1683,DELIVERED
2174803,3112,DELIVERED
2174804,1976,DELIVERED
2174805,940,DELIVERED
2174806,3651,DELIVERED
2174808,3642,DELIVERED
2174810,2381,DELIVERED
2174813,4704,DELIVERED
2174824,995,DELIVERED
2174825,1322,DELIVERED
2174829,4382,DELIVERED
2174830,3046,DELIVERED
2174831,1171,DELIVERED
2174834,1389,DELIVERED
2174838,1992,DELIVERED
2174839,1154,DELIVERED
2174840,4665,DELIVERED
2174843,1452,DELIVERED
2174845,2100,CANCELLED
2174847,1811,DELIVERED
2174849,1488,DELIVERED
2174850,816,DELIVERED
2174851,3498,DELIVERED
2174852,1754,DELIVERED
2174859,3579,DELIVERED
2174862,923,DELIVERED
2174864,3617,DELIVERED
2174865,1299,DELIVERED
2174866,4992,DELIVERED
2174867,2591,DELIVERED
2174876,519,DELIVERED
2174878,2202,DELIVERED
2174880,3659,DELIVERED
2174882,3073,DELIVERED
2174883,2995,CANCELLED
2174884,1341,DELIVERED
2174888,3659,DELIVERED
2174890,1628,DELIVERED
2174891,1658,DELIVERED
2174892,949,DELIVERED
2174893,2284,DELIVERED
2174897,4517,DELIVERED
2174898,2995,DELIVERED
2174900,1333,DELIVERED
2174901,93,DELIVERED
2174903,825,DELIVERED
2174904,395,DELIVERED
2174905,726,DELIVERED
2174906,1420,DELIVERED
2174910,3976,DELIVERED
2174911,251,DELIVERED
2174912,4144,DELIVERED
2174913,1387,DELIVERED
2174917,4564,DELIVERED
2174918,416,DELIVERED
2174919,2406,DELIVERED
2174921,4504,DELIVERED
2174923,2549,DELIVERED
2174926,4135,DELIVERED
2174933,2027,DELIVERED
2174935,1894,DELIVERED
2174938,4699,DELIVERED
2174939,4918,DELIVERED
2174940,2430,DELIVERED
2174942,2100,DELIVERED
2174943,1859,DELIVERED
2174944,2582,DELIVERED
2174947,3703,DELIVERED
2174948,1028,DELIVERED
2174949,2849,DELIVERED
2174956,2529,DELIVERED
2174957,3283,DELIVERED
2174959,1610,DELIVERED
2174961,5390,DELIVERED
2174963,2417,DELIVERED
2174966,2147,DELIVERED
2174970,3617,DELIVERED
2174971,788,DELIVERED
2174973,2797,DELIVERED
2174976,1944,DELIVERED
2174977,1168,DELIVERED
2174981,1239,DELIVERED
2174985,2068,DELIVERED
2174990,4112,DELIVERED
2174991,1458,DELIVERED
2174992,987,DELIVERED
2174998,2539,DELIVERED
2174999,2565,DELIVERED
2175003,763,DELIVERED
2175006,5389,DELIVERED
2175008,3791,DELIVERED
2175018,1769,DELIVERED
2175022,286,DELIVERED
2175025,1460,DELIVERED
2175028,2642,DELIVERED
2175030,3667,DELIVERED
2175032,147,DELIVERED
2175033,3498,DELIVERED
2175035,1935,DELIVERED
2175036,4504,DELIVERED
2175041,3778,DELIVERED
2175042,2549,DELIVERED
2175043,3722,DELIVERED
2175044,843,DELIVERED
2175046,3958,CANCELLED
2175050,711,DELIVERED
2175061,1853,DELIVERED
2175066,793,DELIVERED
2175067,2975,DELIVERED
2175073,2625,DELIVERED
2175075,1183,DELIVERED
2175078,538,DELIVERED
2175079,1689,DELIVERED
2175080,4283,DELIVERED
2175083,907,DELIVERED
2175085,2529,DELIVERED
2175086,5303,DELIVERED
2175088,2483,DELIVERED
2175092,987,DELIVERED
2175093,2591,DELIVERED
2175094,5500,DELIVERED
2175096,3299,DELIVERED
2175097,2217,DELIVERED
2175098,1947,DELIVERED
2175099,5775,DELIVERED
2175102,764,DELIVERED
2175104,3311,DELIVERED
2175109,1299,DELIVERED
2175110,1746,DELIVERED
2175112,1619,DELIVERED
2175113,918,DELIVERED
2175115,2582,DELIVERED
2175117,709,DELIVERED
2175119,2921,DELIVERED
2175121,2162,DELIVERED
2175122,1543,DELIVERED
2175125,1644,DELIVERED
2175129,1186,DELIVERED
2175130,3580,DELIVERED
2175132,3364,DELIVERED
2175133,1640,DELIVERED
2175134,1207,DELIVERED
2175135,742,DELIVERED
2175138,378,DELIVERED
2175142,1560,DELIVERED
2175143,1014,DELIVERED
2175147,5460,DELIVERED
2175149,1452,DELIVERED
2175155,6043,DELIVERED
2175159,3689,DELIVERED
2175162,2388,DELIVERED
2175165,836,DELIVERED
2175168,1458,DELIVERED
2175170,3426,DELIVERED
2175173,3198,DELIVERED
2175177,1488,DELIVERED
2175179,5250,DELIVERED
2175183,3167,DELIVERED
2175185,1806,DELIVERED
2175186,4020,DELIVERED
2175189,197,DELIVERED
2175193,6214,DELIVERED
2175197,5587,DELIVERED
2175201,4104,DELIVERED
2175203,1265,DELIVERED
2175206,963,DELIVERED
2175207,251,DELIVERED
2175210,2363,DELIVERED
