order_id,store_id,channel_id,payment_id,delivery_id,order_status,order_amount,order_delivery_fee,order_delivery_cost,order_Date_created,order_Date_delivering,order_metric_cycle_time
4301,3512,5,44001,2174658,CANCELED,62.7,0,0,2012-03-04 00:00:00,2012-03-11 00:00:00,61.23
4302,3512,5,44002,2174660,CANCELED,62.7,0,0,2012-03-04 00:00:00,2012-03-11 00:00:00,61.23
4303,3512,5,44003,2174661,CANCELED,115.5,0,0,2012-03-05 00:00:00,2012-03-12 00:00:00,61.23
4304,3401,5,44004,2174663,CANCELED,55.9,0,0,2012-03-05 00:00:00,2012-03-12 00:00:00,61.23
4305,3401,5,44005,2174675,CANCELED,37.9,0,0,2012-03-05 00:00:00,2012-03-12 00:00:00,61.23
4306,786,5,44006,2174680,CANCELED,80,9.9,0,2012-03-05 00:00:00,2012-03-12 00:00:00,61.23
4307,1125,5,44007,2174693,CANCELED,71,9.9,0,2012-03-05 00:00:00,2012-03-12 00:00:00,61.23
4308,1064,35,44008,2174695,CANCELED,214.8,0.01,0,2012-03-06 00:00:00,2012-03-13 00:00:00,61.23
4309,2181,35,44009,2174696,FINISHED,394.8,0.01,6,2012-03-06 00:00:00,2012-03-13 00:00:00,2424.72
4310,1152,5,44010,2174697,CANCELED,25.5,9.9,0,2012-03-06 00:00:00,2012-03-13 00:00:00,61.23
4311,490,5,44011,2174699,CANCELED,30,5.9,0,2012-03-06 00:00:00,2012-03-13 00:00:00,61.23
4312,674,5,44012,2174705,CANCELED,74.5,5.9,0,2012-03-06 00:00:00,2012-03-13 00:00:00,61.23
4313,490,5,44013,2174707,CANCELED,48,7.9,0,2012-03-06 00:00:00,2012-03-13 00:00:00,61.23
4314,679,5,44014,2174708,CANCELED,34.9,9.9,0,2012-03-06 00:00:00,2012-03-13 00:00:00,61.23
4315,294,5,44015,2174712,CANCELED,34,6.9,0,2012-03-06 00:00:00,2012-03-13 00:00:00,61.23
4316,294,5,44016,2174713,CANCELED,39.3,9.9,0,2012-03-06 00:00:00,2012-03-13 00:00:00,61.23
4317,294,5,44017,2174715,CANCELED,41.5,9.9,0,2012-03-07 00:00:00,2012-03-14 00:00:00,61.23
4318,631,5,44018,2174720,FINISHED,195.05,11.9,10.93,2012-03-07 00:00:00,2012-03-14 00:00:00,120.42
4319,631,5,44019,2174724,FINISHED,46.9,11.9,11.36,2012-03-07 00:00:00,2012-03-14 00:00:00,77.05
4320,3265,5,44020,2174729,FINISHED,45.8,0,10.28,2012-03-08 00:00:00,2012-03-15 00:00:00,51.82
4321,236,5,44021,2174733,FINISHED,94.9,11.9,6,2012-03-08 00:00:00,2012-03-15 00:00:00,29.3
4322,631,5,44022,2174734,FINISHED,45.9,11.9,11.63,2012-03-08 00:00:00,2012-03-15 00:00:00,85.77
4323,955,5,44023,2174735,FINISHED,26.9,0,6,2012-03-08 00:00:00,2012-03-15 00:00:00,66.5
4324,294,5,44024,2174737,CANCELED,32.4,9.9,0,2012-03-08 00:00:00,2012-03-15 00:00:00,61.23
4325,631,5,44025,2174739,FINISHED,103.6,11.9,6.33,2012-03-09 00:00:00,2012-03-16 00:00:00,67.37
4326,631,5,44026,2174743,FINISHED,187.4,11.9,3.72,2012-03-09 00:00:00,2012-03-16 00:00:00,94.82
4327,631,5,44027,2174744,FINISHED,83.4,11.9,11.32,2012-03-09 00:00:00,2012-03-16 00:00:00,105.35
4328,631,5,44028,2174749,FINISHED,136.8,11.9,3.72,2012-03-09 00:00:00,2012-03-16 00:00:00,49.35
4329,631,5,44029,2174751,FINISHED,158.3,11.9,10.35,2012-03-09 00:00:00,2012-03-16 00:00:00,84.97
4330,3528,5,44030,2174754,FINISHED,21.9,3,9.99,2012-03-10 00:00:00,2012-03-17 00:00:00,111.75
4331,3265,5,44031,2174755,FINISHED,25.9,0,12.08,2012-03-10 00:00:00,2012-03-17 00:00:00,58.33
4332,631,5,44032,2174756,FINISHED,163.3,11.9,3.72,2012-03-10 00:00:00,2012-03-17 00:00:00,54.28
4333,3265,5,44033,2174757,FINISHED,31.4,0,8.61,2012-03-10 00:00:00,2012-03-17 00:00:00,51.8
4334,3265,5,44034,2174759,FINISHED,25.9,0,0,2012-03-10 00:00:00,2012-03-17 00:00:00,51.63
4335,1016,5,44035,2174764,FINISHED,39.8,6.99,9.75,2012-03-10 00:00:00,2012-03-17 00:00:00,16.92
4336,1530,5,44036,2174765,CANCELED,34.2,9.9,0,2012-03-11 00:00:00,2012-03-18 00:00:00,61.23
4337,3265,5,44037,2174767,FINISHED,29,0,10.51,2012-03-11 00:00:00,2012-03-18 00:00:00,59.03
4338,955,5,44038,2174769,FINISHED,46.8,0,8.54,2012-03-11 00:00:00,2012-03-18 00:00:00,36.95
4339,406,5,44039,2174771,CANCELED,25.9,9.99,0,2012-03-11 00:00:00,2012-03-18 00:00:00,61.23
4340,955,5,44040,2174775,FINISHED,41.9,0,8,2012-03-11 00:00:00,2012-03-18 00:00:00,45.67
4341,3265,5,44041,2174790,FINISHED,28,0,10.75,2012-03-11 00:00:00,2012-03-18 00:00:00,65.12
4342,399,5,44042,2174791,FINISHED,99.4,9.9,8.03,2012-03-11 00:00:00,2012-03-18 00:00:00,85.8
4343,955,5,44043,2174792,FINISHED,54.9,0,8,2012-03-11 00:00:00,2012-03-18 00:00:00,32.37
4344,3265,5,44044,2174797,FINISHED,32.4,0,8.94,2012-03-11 00:00:00,2012-03-18 00:00:00,56.73
4345,659,5,44045,2174799,CANCELED,121.1,11.9,0,2012-03-11 00:00:00,2012-03-18 00:00:00,61.23
4346,3528,5,44046,2174801,FINISHED,74.9,3,8,2012-03-11 00:00:00,2012-03-18 00:00:00,145.52
4347,3265,5,44047,2174803,FINISHED,31,0,10.01,2012-03-11 00:00:00,2012-03-18 00:00:00,63.27
4348,274,5,44048,2174804,FINISHED,64,11.9,8,2012-03-12 00:00:00,2012-03-19 00:00:00,45.77
4349,3265,5,44049,2174805,FINISHED,47.8,0,10.41,2012-03-12 00:00:00,2012-03-19 00:00:00,61.23
4350,707,5,44050,2174806,FINISHED,205.5,11.9,10.06,2012-03-12 00:00:00,2012-03-19 00:00:00,36.05
4351,998,5,44051,2174808,FINISHED,69,9.9,9,2012-03-12 00:00:00,2012-03-19 00:00:00,39.82
4352,236,5,44052,2174810,FINISHED,87.35,11.9,6,2012-03-13 00:00:00,2012-03-20 00:00:00,40.97
4353,2948,5,44053,2174813,FINISHED,85.6,0,7.6,2012-03-13 00:00:00,2012-03-20 00:00:00,33.6
4354,274,5,44054,2174824,FINISHED,100.3,11.9,8.74,2012-03-13 00:00:00,2012-03-20 00:00:00,39.52
4355,3105,5,44055,2174825,FINISHED,43.7,0,6,2012-03-14 00:00:00,2012-03-21 00:00:00,82.1
4356,1016,5,44056,2174829,FINISHED,38.4,6.99,8.89,2012-03-14 00:00:00,2012-03-21 00:00:00,28.02
4357,415,5,44057,2174830,FINISHED,190.5,11.9,6,2012-03-14 00:00:00,2012-03-21 00:00:00,59.05
4358,631,5,44058,2174831,FINISHED,155.3,11.9,3.75,2012-03-14 00:00:00,2012-03-21 00:00:00,54.8
4359,3105,5,44059,2174834,FINISHED,34.9,0,6,2012-03-14 00:00:00,2012-03-21 00:00:00,44.58
4360,415,5,44060,2174838,FINISHED,117,11.9,6,2012-03-14 00:00:00,2012-03-21 00:00:00,54.47
4361,274,5,44061,2174839,FINISHED,156.8,11.9,8.82,2012-03-14 00:00:00,2012-03-21 00:00:00,45.6
4362,707,5,44062,2174840,FINISHED,135.15,11.9,10.69,2012-03-14 00:00:00,2012-03-21 00:00:00,37.35
4363,631,5,44063,2174843,FINISHED,69.9,11.9,6,2012-03-14 00:00:00,2012-03-21 00:00:00,36.72
4364,3071,5,44064,2174845,FINISHED,59.8,0,8.09,2012-03-14 00:00:00,2012-03-21 00:00:00,33.28
4365,3060,5,44065,2174847,FINISHED,62.7,0,6,2012-03-14 00:00:00,2012-03-21 00:00:00,64.97
4366,3528,5,44066,2174849,FINISHED,25.4,0,8,2012-03-14 00:00:00,2012-03-21 00:00:00,60.37
4367,707,5,44067,2174850,FINISHED,234.6,11.9,10.88,2012-03-14 00:00:00,2012-03-21 00:00:00,42.68
4368,3265,5,44068,2174851,FINISHED,61.8,0,10.43,2012-03-15 00:00:00,2012-03-22 00:00:00,64.65
4369,3091,5,44069,2174852,FINISHED,25.9,0,8,2012-03-15 00:00:00,2012-03-22 00:00:00,23.18
4370,3105,5,44070,2174859,FINISHED,35.8,0,8,2012-03-15 00:00:00,2012-03-22 00:00:00,28.08
4371,3265,5,44071,2174862,FINISHED,20.9,0,10.33,2012-03-15 00:00:00,2012-03-22 00:00:00,90.4
4372,149,5,44072,2174864,FINISHED,92.35,11.9,8,2012-03-15 00:00:00,2012-03-22 00:00:00,46.05
4373,2948,5,44073,2174865,FINISHED,51.7,0,7.6,2012-03-15 00:00:00,2012-03-22 00:00:00,25.78
4374,3071,5,44074,2174866,FINISHED,36.8,0,8,2012-03-15 00:00:00,2012-03-22 00:00:00,35.83
4375,149,5,44075,2174867,FINISHED,143.4,11.9,8.84,2012-03-16 00:00:00,2012-03-23 00:00:00,45.7
4376,632,5,44076,2174876,FINISHED,129.7,11.9,6,2012-03-16 00:00:00,2012-03-23 00:00:00,119.2
4377,1037,5,44077,2174878,FINISHED,168.9,11.9,8.2,2012-03-16 00:00:00,2012-03-23 00:00:00,45.8
4378,998,5,44078,2174880,FINISHED,150,9.9,6,2012-03-16 00:00:00,2012-03-23 00:00:00,33.88
4379,3512,5,44079,2174882,CANCELED,77.6,0,0,2012-03-16 00:00:00,2012-03-23 00:00:00,61.23
4380,3528,5,44080,2174883,FINISHED,24.9,3,8.16,2012-03-16 00:00:00,2012-03-23 00:00:00,78.75
4381,495,5,44081,2174884,FINISHED,107.35,11.9,8.42,2012-03-16 00:00:00,2012-03-23 00:00:00,44.02
4382,631,5,44082,2174888,FINISHED,46.9,11.9,11.16,2012-03-16 00:00:00,2012-03-23 00:00:00,158.52
4383,495,5,44083,2174890,FINISHED,81.8,11.9,6,2012-03-16 00:00:00,2012-03-23 00:00:00,68.85
4384,399,5,44084,2174891,FINISHED,78.9,9.9,6,2012-03-17 00:00:00,2012-03-24 00:00:00,45.33
4385,3728,5,44085,2174892,FINISHED,85,0,9.04,2012-03-17 00:00:00,2012-03-24 00:00:00,42.13
4386,149,5,44086,2174893,FINISHED,65.4,11.9,6,2012-03-17 00:00:00,2012-03-24 00:00:00,31.88
4387,3091,5,44087,2174897,FINISHED,45.7,0,3.49,2012-03-17 00:00:00,2012-03-24 00:00:00,122.25
4388,632,5,44088,2174898,FINISHED,38,11.9,6.87,2012-03-17 00:00:00,2012-03-24 00:00:00,87.18
4389,632,5,44089,2174900,FINISHED,125.9,11.9,3.75,2012-03-17 00:00:00,2012-03-24 00:00:00,51.08
4390,495,5,44090,2174901,FINISHED,184.6,11.9,3.84,2012-03-17 00:00:00,2012-03-24 00:00:00,61.37
4391,659,5,44091,2174903,FINISHED,74.4,11.9,6,2012-03-18 00:00:00,2012-03-25 00:00:00,34.3
4392,707,5,44092,2174904,FINISHED,270,11.9,10.28,2012-03-18 00:00:00,2012-03-25 00:00:00,45.18
