store_id,store_name,store_segment,store_plan_price,store_latitude,store_longitude
3,CUMIURI,GOOD,0,,
6,PIMGUCIS DA VIVA ,GOOD,0,-30.0374149,-51.20352
8,RASMUR S ,GOOD,0,-30.0374149,-51.20352
53,PAPA SUCIS ,GOOD,0,-22.921475,-43.234822
54,VUZPI PAZZIS ,GOOD,0,-22.921475,-43.234822
56,SUPSIO ,GOOD,49,-22.921475,-43.234822
58,PIAMUARIS ,GOOD,49,-22.921475,-43.234822
82,LUCITA ,GOOD,0,-22.921475,-43.234822
83,PRARIZZAI ,GOOD,0,-22.921475,-43.234822
84,PALLO MZU GRALA,GOOD,49,-22.921475,-43.234822
85,PRISMAURAI ,GOOD,0,-22.921475,-43.234822
88,EUGUSMI ,FOOD,0,-22.921475,-43.234822
89,LIS URPIMIOUS ,GOOD,49,-22.921475,-43.234822
90,CISI DA POI EU QUASI ,GOOD,49,-22.921475,-43.234822
95,ARE TRAMUO ,GOOD,49,-22.921475,-43.234822
96,PIRMI DA SIPIR ,GOOD,0,-23.0007498,-43.318364
99,SIRVUMU AMILAI ,GOOD,0,-22.921475,-43.234822
100,LUPIMUIM ,GOOD,49.9,-22.921475,-43.234822
122,MASUCIE,FOOD,0,,
141,RO PRISMAUS ,GOOD,0,-22.921475,-43.234822
144,CIRIROI U CAI ,GOOD,49.9,-22.921475,-43.234822
149,IUMPICA ,GOOD,0,-22.921475,-43.234822
164,CLUPU RULASSI ,FOOD,0,-22.921475,-43.234822
187,LUCITA ,GOOD,49,-22.8858199,-43.2792183
189,USPUMUI CIRAICI ,GOOD,49,-22.8858199,-43.2792183
191,AR PAZZI ,GOOD,49,-22.8858199,-43.2792183
228,PUGUM ,FOOD,0,-22.9241443,-43.2363449
232,RIARI SIARI ,GOOD,0,-23.0174723,-43.4799389
236,IUMPICA ,GOOD,0,-22.8858199,-43.2792183
245,SUPSIO ,GOOD,0,-22.9454948,-43.1821807
261,AR TRAMUO ,GOOD,49,-22.9454948,-43.1821807
264,EMUOUS,FOOD,0,-22.9241443,-43.2363449
274,IUMPICA ,GOOD,0,-23.0174723,-43.4799389
294,PAPA SUCIS ,GOOD,0,-22.8858199,-43.2792183
295,AIEMAMIMU IU PRUSEM,FOOD,29.9,-22.921475,-43.234822
311,RISA PUM ,FOOD,29,-22.8858199,-43.2792183
321,IUMPICA ,GOOD,0,-23.5920041,-46.6365035
339,ARE TRAMUO ,GOOD,49.9,-23.5920041,-46.6365035
342,PIARIS,FOOD,0,,
345,ZIM ME MUMEUR ,GOOD,49,-22.8860986,-43.2795475
356,SPILUMI ,GOOD,49.9,-23.550407,-46.6973162
357,PILIOU RAS ,GOOD,0,-23.0007532,-43.3837713
361,IPUPIEMAI ,GOOD,0,-23.0007532,-43.3837713
365,CIRILAMI SILUS ,GOOD,49.9,-22.996848,-43.361197
366,AR TRAMUO ,GOOD,49,-22.996848,-43.361197
367,MIUMSAU ,GOOD,49,-22.996848,-43.361197
370,PAZZI ZUM ,GOOD,49,-22.996848,-43.361197
371,LUCITA ,GOOD,0,-22.996848,-43.361197
373,CRUPULICOS ,GOOD,49,-22.996848,-43.361197
377,RIRURPIS,FOOD,0,-23.0007532,-43.3837713
378,OURAMIES ,GOOD,49.9,-23.550407,-46.6973162
383,ACA PRISSURAU ,GOOD,49.9,-23.550407,-46.6973162
387,REMFRUMIS ,GOOD,49,-23.0007532,-43.3837713
390,PAZZI ZUM ,GOOD,49.9,-23.5920041,-46.6365035
391,FAIARUMUI ,GOOD,0,-22.996848,-43.361197
399,PIARO ,GOOD,0,-22.8843321,-43.283366
406,GARIOLIS ,GOOD,49,-23.0007532,-43.3837713
409,RC OUMILEES ,GOOD,0,-23.0172627,-43.4791238
414,SPILUMI ,GOOD,0,-22.886644,-43.2801892
415,IPUPIEMAI ,GOOD,,-22.921475,-43.234822
416,IUMPICA ,GOOD,0,-23.550407,-46.721291
417,IUMPICA ,GOOD,0,-22.996848,-43.361197
426,ZIM M MUMEUR ,GOOD,,-22.996848,-43.361197
430,PIR DA ILUROI ,GOOD,0,-23.550407,-46.721291
435,SUSM GRALA,GOOD,49.9,-23.0172627,-43.4791238
439,CILAFIRMAI CIOLA ,GOOD,49.9,-23.0172627,-43.4791238
446,SIRLE FRA ,FOOD,29,-22.996848,-43.361197
447,PA PISACI ,FOOD,29,-23.550407,-46.721291
453,IRULAU CRUPURAU ,GOOD,49,-22.996848,-43.361197
462,CIFUAMI ,GOOD,49,-22.9464282,-43.1823091
476,PIARI FLIRUS ,FOOD,29,-22.996848,-43.361197
482,GIPUMZIGUM OPASI RIUSARI CIREARA ,FOOD,49.9,-23.5677027,-46.642043
490,MATATA ,GOOD,49.9,-23.0007532,-43.3837713
491,I CISI DA PAMPE ,FOOD,29.9,-23.0172627,-43.4791238
493,PAZZI ZUM ,GOOD,49.9,-23.5677027,-46.642043
495,IUMPICA ,GOOD,0,-23.5623285,-46.642043
496,IUMPICA ,GOOD,,-23.5630195,-46.652621
497,CISI DA URPIOU ,GOOD,0,-22.8843321,-43.283366
501,RISIRA ,GOOD,49.9,-23.5677027,-46.642043
508,GROI USPRUSSI ,GOOD,49,-22.996848,-43.361197
515,GULIMURAI RE ,GOOD,49,-22.9464282,-43.1823091
520,IRIR OIS PUOUMIS ,GOOD,49.9,-23.5630195,-46.652621
524,ILA RIERUGI ,FOOD,49.9,-30.0374149,-51.20352
525,PUCIRAMI  ,GOOD,49.9,-23.5677027,-46.642043
529,GULIMURAI RE ,GOOD,49,-22.996848,-43.361197
531,CISUMPES ,GOOD,49.9,-23.0172627,-43.4791238
532,SIRLE FRA ,FOOD,29.9,-22.886644,-43.2801892
540,UMIG ,FOOD,49,-23.0007532,-43.3837713
545,IAMUR ,GOOD,49.9,-30.0374149,-51.20352
555,RIGU I CIGU ,GOOD,49,-22.996848,-43.361197
563,MZU PLICA PAF ,GOOD,49.9,-30.038145,-51.20352
564,PUMGUA ,GOOD,49.9,-22.996848,-43.361197
582,SPILUMI ,GOOD,49.9,-23.020709,-43.4897
585,MUMRIFAM ,FOOD,29.9,-23.550407,-46.721291
586,GULIMI PIRULA ,GOOD,49.9,-23.563758,-46.652621
587,PIARO ,GOOD,,-22.921475,-43.234822
